Seeds;VQC_angle_testing_list;VQC_amplitude_testing_list;dressed_quantum_testing_list;sequent_quantum_testing_list;NN_with_compressed_input_testing_list;NN_with_original_input_testing_list;Dataset
Bank_Acc_0;0.82608696;0.86956522;0.98550725;0.98550725;0.55797101;0.98550725;Banknote Authentication
Bank_Acc_1;0.80434783;0.8115942;0.99275362;0.97826087;0.78985507;0.99275362;Banknote Authentication
Bank_Acc_2;0.7173913;0.84782609;0.99275362;0.95652174;0.73913043;1.;Banknote Authentication
Bank_Acc_3;0.79710145;0.8115942;0.99275362;0.98550725;0.55797101;0.98550725;Banknote Authentication
Bank_Acc_4;0.77536232;0.81884058;1.;1.;0.79710145;1.;Banknote Authentication
Bank_Acc_5;0.78985507;0.76086957;1.;0.98550725;0.53623188;0.98550725;Banknote Authentication
Bank_Acc_6;0.7826087;0.88405797;0.99275362;0.98550725;0.79710145;1.;Banknote Authentication
Bank_Acc_7;0.75362319;0.84057971;0.98550725;0.97826087;0.60869565;1.;Banknote Authentication
Bank_Acc_8;0.79710145;0.94202899;1.;0.96376812;0.79710145;0.96376812;Banknote Authentication
Bank_Acc_9;0.82608696;0.88405797;1.;0.97101449;0.80434783;0.99275362;Banknote Authentication
BC_Acc_0;0.84210526;0.8245614;0.96491228;0.94736842;0.87719298;0.96491228;Breast Cancer Wisconsin
BC_Acc_1;0.85964912;0.8245614;0.98245614;0.98245614;0.9122807;0.98245614;Breast Cancer Wisconsin
BC_Acc_2;0.89473684;0.85964912;0.98245614;1.;0.94736842;1.;Breast Cancer Wisconsin
BC_Acc_3;0.92982456;0.80701754;0.94736842;0.94736842;0.9122807;0.89473684;Breast Cancer Wisconsin
BC_Acc_4;0.98245614;0.9122807;0.9122807;0.92982456;1.;1.;Breast Cancer Wisconsin
BC_Acc_5;0.63157895;0.85964912;0.98245614;0.98245614;0.63157895;0.98245614;Breast Cancer Wisconsin
BC_Acc_6;0.52631579;0.84210526;0.98245614;0.98245614;0.52631579;0.96491228;Breast Cancer Wisconsin
BC_Acc_7;0.94736842;0.84210526;0.98245614;0.98245614;0.94736842;0.98245614;Breast Cancer Wisconsin
BC_Acc_8;0.9122807;0.85964912;0.98245614;0.98245614;0.94736842;0.98245614;Breast Cancer Wisconsin
BC_Acc_9;0.63157895;0.85964912;1.;0.98245614;0.63157895;0.98245614;Breast Cancer Wisconsin
MNIST_Acc_0;0.4726;0.4822;0.8852;0.4948;0.7961;0.9855;MNIST
MNIST_Acc_1;0.4779;0.4159;0.8956;0.547;0.8995;0.984;MNIST
MNIST_Acc_2;0.5517;0.4299;0.8929;0.589;0.753;0.9863;MNIST
MNIST_Acc_3;0.6093;0.4755;0.9084;0.4989;0.8382;0.9846;MNIST
MNIST_Acc_4;0.5396;0.4323;0.8905;0.3661;0.7536;0.9861;MNIST
MNIST_Acc_5;0.4374;0.4613;0.8886;0.5588;0.8949;0.9854;MNIST
MNIST_Acc_6;0.4847;0.4812;0.9009;0.4866;0.911;0.9862;MNIST
MNIST_Acc_7;0.5353;0.3649;0.8998;0.5524;0.8532;0.9847;MNIST
MNIST_Acc_8;0.4852;0.5114;0.9029;0.4577;0.7985;0.9844;MNIST
MNIST_Acc_9;0.4755;0.3882;0.8942;0.5301;0.8098;0.9837;MNIST
Audio_Acc_0;0.21166667;0.24633333;0.218;0.34;0.319;0.91166667;AudioMNIST
Audio_Acc_1;0.19;0.28066667;0.48166667;0.501;0.312;0.87266667;AudioMNIST
Audio_Acc_2;0.183;0.24666667;0.63233333;0.423;0.26933333;0.92933333;AudioMNIST
Audio_Acc_3;0.27833333;0.262;0.68;0.36266667;0.23966667;0.91766667;AudioMNIST
Audio_Acc_4;0.25566667;0.29;0.142;0.373;0.31333333;0.74866667;AudioMNIST
Audio_Acc_5;0.28233333;0.26;0.06466667;0.37833333;0.26166667;0.841;AudioMNIST
Audio_Acc_6;0.21166667;0.22333333;0.10166667;0.37766667;0.30666667;0.90066667;AudioMNIST
Audio_Acc_7;0.269;0.283;0.05266667;0.40966667;0.35633333;0.907;AudioMNIST
Audio_Acc_8;0.28466667;0.18;0.535;0.325;0.26133333;0.85266667;AudioMNIST
Audio_Acc_9;0.23766667;0.29433333;0.65333333;0.36333333;0.344;0.90533333;AudioMNIST
